name,id,nametype,recclass,mass,fall,year,reclat,reclong,GeoLocation
Cargo Muchacho Mountains,50912,Valid,CO3,2860,Found,2000,32.91745,-114.767183,"(32.917450, -114.767183)"
Contis-Plage,55768,Valid,H5,44,Found,2000,44.08333,-1.31667,"(44.083330, -1.316670)"
Cotopaxi,30451,Valid,"Iron, IAB-ung",243,Found,2000,38.46483,-105.7015,"(38.464830, -105.701500)"
Coyote Dry Lake 129,30472,Valid,H5,140,Found,2000,35.06917,-116.7502,"(35.069170, -116.750200)"
Coyote Dry Lake 130,30473,Valid,H4,6.1,Found,2000,35.06785,-116.7494,"(35.067850, -116.749400)"
Coyote Dry Lake 132,30474,Valid,H4,17.4,Found,2000,35.07028,-116.74847,"(35.070280, -116.748470)"
Coyote Dry Lake 134,30475,Valid,H5,117.5,Found,2000,35.0925,-116.76083,"(35.092500, -116.760830)"
Coyote Dry Lake 138,30476,Valid,H5,18.3,Found,2000,35.05283,-116.76645,"(35.052830, -116.766450)"
Coyote Dry Lake 139,30477,Valid,H4,10.4,Found,2000,35.05283,-116.76538,"(35.052830, -116.765380)"
Coyote Dry Lake 142,30478,Valid,H4,32.22,Found,2000,35.06725,-116.74853,"(35.067250, -116.748530)"
Cuddeback Dry Lake 002,5481,Valid,L6,95,Found,2000,35.2755,-117.47833,"(35.275500, -117.478330)"
Cuddeback Dry Lake 003,5482,Valid,L6,7.5,Found,2000,35.29183,-117.47067,"(35.291830, -117.470670)"
Cuddeback Dry Lake 004,5483,Valid,H6,40,Found,2000,35.30233,-117.46017,"(35.302330, -117.460170)"
Cuddeback Dry Lake 005,5484,Valid,H5,35,Found,2000,35.31232,-117.45315,"(35.312320, -117.453150)"
Cuddeback Dry Lake 006,5485,Valid,H6,0.5,Found,2000,35.31227,-117.453,"(35.312270, -117.453000)"
Cuddeback Dry Lake 007,5486,Valid,L4,96.7,Found,2000,35.3114,-117.45342,"(35.311400, -117.453420)"
Cuddeback Dry Lake 008,5487,Valid,L6,18.02,Found,2000,35.28333,-117.48333,"(35.283330, -117.483330)"
Cuddeback Dry Lake 009,5488,Valid,H5,19,Found,2000,35.31833,-117.46667,"(35.318330, -117.466670)"
Cuddeback Dry Lake 010,5489,Valid,L5,10.5,Found,2000,35.3112,-117.45465,"(35.311200, -117.454650)"
Cuddeback Dry Lake 011,5490,Valid,L6,10.69,Found,2000,35.2758,-117.47877,"(35.275800, -117.478770)"
Danby Dry Lake,5510,Valid,H6,8991,Found,2000,34.216667,-115.05,"(34.216667, -115.050000)"
Dar al Gani 1010,5628,Valid,Ureilite,119,Found,2000,27.04133,16.38767,"(27.041330, 16.387670)"
Dar al Gani 1020,5637,Valid,H5,55.8,Found,2000,27.92472,16.9575,"(27.924720, 16.957500)"
Dar al Gani 1021,5638,Valid,H5,101.1,Found,2000,27.01083,16.18167,"(27.010830, 16.181670)"
Dar al Gani 1028,30499,Valid,CO3,131,Found,2000,27.07567,16.06633,"(27.075670, 16.066330)"
Dar al Gani 1029,5643,Valid,LL5,68,Found,2000,27.919,16.684,"(27.919000, 16.684000)"
Dar al Gani 1032,5647,Valid,H3/4,321,Found,2000,27.035,16.38133,"(27.035000, 16.381330)"
Dar al Gani 1051,51562,Valid,Martian (shergottite),40.1,Found,2000,27.16917,16.13533,"(27.169170, 16.135330)"
Dar al Gani 659,6206,Valid,H5,15,Found,2000,27.6,16.2,"(27.600000, 16.200000)"
Dar al Gani 664,6211,Valid,L4,137,Found,2000,27.23333,16.11667,"(27.233330, 16.116670)"
Dar al Gani 673,6220,Valid,L4/5,96,Found,2000,27.23333,16.11667,"(27.233330, 16.116670)"
Dar al Gani 678,6225,Valid,H5/6,162,Found,2000,26.75,16.43333,"(26.750000, 16.433330)"
Dar al Gani 780,6327,Valid,H5,56.7,Found,2000,26.98717,16.43717,"(26.987170, 16.437170)"
Dar al Gani 781,6328,Valid,L6,13.7,Found,2000,27.01617,16.468,"(27.016170, 16.468000)"
Dar al Gani 782,6329,Valid,H5,89.9,Found,2000,26.9705,16.469,"(26.970500, 16.469000)"
Dar al Gani 783,6330,Valid,H5,84,Found,2000,26.47667,16.46083,"(26.476670, 16.460830)"
Dar al Gani 784,6331,Valid,H5,50.7,Found,2000,26.98333,16.44,"(26.983330, 16.440000)"
Dar al Gani 785,6332,Valid,LL3,278,Found,2000,26.99883,16.44283,"(26.998830, 16.442830)"
Dar al Gani 786,6333,Valid,L6,243,Found,2000,27.01883,16.434,"(27.018830, 16.434000)"
Dar al Gani 787,6334,Valid,Ureilite,32.1,Found,2000,27.0415,16.40083,"(27.041500, 16.400830)"
Dar al Gani 788,6335,Valid,H5,36.8,Found,2000,26.97017,16.46967,"(26.970170, 16.469670)"
Dar al Gani 789,6336,Valid,L6,52.7,Found,2000,26.99017,16.4475,"(26.990170, 16.447500)"
Dar al Gani 790,6337,Valid,L6,241,Found,2000,26.99933,16.431,"(26.999330, 16.431000)"
Dar al Gani 791,6338,Valid,H4,148,Found,2000,27.27767,16.23717,"(27.277670, 16.237170)"
Dar al Gani 792,6339,Valid,LL3,202,Found,2000,26.91383,16.465,"(26.913830, 16.465000)"
Dar al Gani 793,6340,Valid,LL6,109,Found,2000,27.46367,16.1465,"(27.463670, 16.146500)"
Dar al Gani 794,6341,Valid,H5,166,Found,2000,26.99333,16.4505,"(26.993330, 16.450500)"
Dar al Gani 795,6342,Valid,H5,27.8,Found,2000,26.98717,16.43733,"(26.987170, 16.437330)"
Dar al Gani 796,6343,Valid,L6,41.4,Found,2000,27.3695,16.24017,"(27.369500, 16.240170)"
Dar al Gani 797,6344,Valid,H5,56.7,Found,2000,27.00033,16.44617,"(27.000330, 16.446170)"
Dar al Gani 798,6345,Valid,H5,76.4,Found,2000,26.9945,16.452,"(26.994500, 16.452000)"
Dar al Gani 799,6346,Valid,H6,107,Found,2000,27.03283,16.48967,"(27.032830, 16.489670)"
Dar al Gani 800,6347,Valid,H6,96.4,Found,2000,27.00883,16.46,"(27.008830, 16.460000)"
Dar al Gani 801,6348,Valid,Ureilite,25.2,Found,2000,27.04683,16.40883,"(27.046830, 16.408830)"
Dar al Gani 802,6349,Valid,H6,230,Found,2000,27.0055,16.47283,"(27.005500, 16.472830)"
Dar al Gani 803,6350,Valid,L6,37,Found,2000,27.0145,16.38867,"(27.014500, 16.388670)"
Dar al Gani 804,6351,Valid,H5,10.5,Found,2000,26.98717,16.437,"(26.987170, 16.437000)"
Dar al Gani 805,6352,Valid,L6,51.9,Found,2000,27.54083,16.15783,"(27.540830, 16.157830)"
